"Predictor","PredGroup","DirectWater","MetricType","PctZero","PctDom","Range","PvIvE_F","EvNE_t_abs","PvNP_t_abs","PvIwet_t_abs","EvIdry_t_abs","rf_MDA","rf_MDG","rf_MDA_rank","Screened"
"pctsubsurfaceflow","Hydrological-Direct",TRUE,"Binary",0.338345864661654,0.601503759398496,100,59.4318007212398,10.4699674494934,9.29712287186052,0.572699458859542,1.53368976362202,0.0109736989983191,1.17313791148249,150,"Pass"
"numberwoodyjams","Hydrological-Indirect",FALSE,"Binary",0.834586466165414,0.834586466165414,100,0.811776550910714,1.28531035791428,0.912295623750309,0.768883211314605,1.15030402868152,-5.2022238514174e-05,0.0697921299544676,51,"Fail"
"SoilMoist_MaxScore","Hydrological-Direct",TRUE,"Ordinal",0.210526315789474,0.691729323308271,2,57.7404185996435,8.83362777169657,8.08081579490799,0,2.76641866269478,0.0124588560996295,1.47145672497043,151,"Pass"
"EcoII","GIS",FALSE,"Continuous",0,0.263157894736842,6.9,0.499479061121327,1.12787467316256,0.650042067319324,0.0376977530450618,0.939142084441927,-9.93676870136826e-05,0.11162096349191,42,"Fail"
"EcoIII","GIS",FALSE,"Continuous",0,0.157894736842105,84,5.50693850279511,2.91328516503946,2.14342676346391,1.53384024997166,2.65343148682269,0.000142932176287048,0.264824265986521,80,"Pass"
"tmean","GIS",FALSE,"Continuous",0,0.0150375939849624,23.239999624,8.75441683925301,4.01963419748211,2.2364008494339,0.654495195057427,3.10445284552317,0.0030151443421123,0.84313973985229,135,"Pass"
"tmax","GIS",FALSE,"Continuous",0,0.0150375939849624,24.77999926,8.95672088673545,4.05003185882841,2.21318478598702,0.656375834400335,3.08572153285513,0.00136265672486048,0.705251304660061,123,"Pass"
"tmin","GIS",FALSE,"Continuous",0,0.0150375939849624,21.720000268,7.86931173070852,3.89148844871896,2.17249238174313,0.628811871658374,2.90342834262043,0.00394685196906339,1.05641424059235,140,"Pass"
"ppt","GIS",FALSE,"Continuous",0,0.0150375939849624,1702.11003083,4.46749710736675,4.48077797190822,0.675954217920241,0.255695173803114,1.99098650712817,0.000151603556856911,0.431664813725033,81,"Pass"
"ppt.m01","GIS",FALSE,"Continuous",0,0.0150375939849624,325.5799866,4.46769206789715,4.54402976356067,0.22490389880285,0.83135202994562,1.74267359696418,0.00136058602480321,0.373242953000804,122,"Pass"
"ppt.m02","GIS",FALSE,"Continuous",0,0.0150375939849624,257.620004671,4.59644719732307,4.44552527988975,0.256844791819525,0.889455362951475,1.70867657496935,-9.8048737682377e-05,0.435858243271279,43,"Pass"
"ppt.m03","GIS",FALSE,"Continuous",0,0.0150375939849624,229.55000404,4.88703232208508,4.71521808221074,0.449659633062432,0.611331712325877,1.85789253030687,0.00044413103069737,0.347250020669929,102,"Pass"
"ppt.m04","GIS",FALSE,"Continuous",0,0.0225563909774436,147.469993248,4.77742847307166,4.47358818435404,0.846788038047033,0.213530463499356,2.03387807227718,0.000272514636694199,0.489181391959461,88,"Pass"
"ppt.m05","GIS",FALSE,"Continuous",0,0.0150375939849624,116.160003114,2.70843920107037,2.80691040751522,1.0900254269697,0.366517906583109,1.73146943181543,0.00156111257034404,0.440953514968623,127,"Pass"
"ppt.m06","GIS",FALSE,"Continuous",0,0.0150375939849624,71.22000337,0.767626736652398,1.28566849104197,0.530496758138018,0.294343016762813,1.15952625444968,0.000384121503425955,0.416914919765284,98,"Fail"
"ppt.m07","GIS",FALSE,"Continuous",0,0.0150375939849624,124.229997587,0.775744673055772,0.444153128616716,0.865700866522924,1.30381349304507,0.288279206870546,5.24160815358551e-05,0.300546635922022,72,"Fail"
"ppt.m08","GIS",FALSE,"Continuous",0,0.0150375939849624,124.119996301,1.16247544586159,1.19514136678376,0.427260051012659,1.16008720881531,0.197780001424488,0.00031342508879342,0.397382235220742,93,"Fail"
"ppt.m09","GIS",FALSE,"Continuous",0,0.0150375939849624,69.449998856,0.455101017714836,0.0126259059468345,0.834111053761315,1.24494366739465,0.801148484396994,-0.000694439689686559,0.268650001335199,6,"Fail"
"ppt.m10","GIS",FALSE,"Continuous",0,0.0150375939849624,112.180001471,3.32493307153706,3.57657284953578,1.12363751591577,0.605009376281375,1.89781730395733,0.00130916522152571,0.509559168842292,121,"Pass"
"ppt.m11","GIS",FALSE,"Continuous",0,0.0150375939849624,251.800005909,4.03002264358234,4.49678832283296,0.356089262383409,0.341407224760347,1.83055268877584,0.000733060359253605,0.546456881178111,112,"Pass"
"ppt.m12","GIS",FALSE,"Continuous",0,0.0150375939849624,367.789991424,3.93673311408627,4.1604460947752,0.122025792220325,0.867251233601636,1.67845431724809,0.00165369524404716,0.47404366493695,128,"Pass"
"ElevCat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,3247.7026619704,3.70714403878062,2.62717282161392,2.0077648572618,0.795652814643699,1.58592428020057,0.000344031174530388,0.427059026242707,95,"Pass"
"ElevWs","StreamCat",FALSE,"Continuous",0,0.0152671755725191,3091.489729974,6.57745004231085,3.22842481405988,3.06983589807362,1.69403746358476,1.68119600579717,0.00298150465253979,0.564869811581839,134,"Pass"
"AgKffactCat","StreamCat",FALSE,"Continuous",0.687022900763359,0.687022900763359,0.251762182880088,0.247338329348711,0.689296297799701,0.530218396279976,0.748934850398871,0.66310860304583,-0.000486812072831864,0.167066007035178,14,"Fail"
"KffactCat","StreamCat",FALSE,"Continuous",0,0.0229007633587786,0.354182736301139,0.440945022262406,0.942586854890787,0.338534041951715,0.829745482132142,0.245458630040673,-0.000459660939472249,0.205210976522671,15,"Fail"
"AgKffactWs","StreamCat",FALSE,"Continuous",0.450381679389313,0.450381679389313,0.0728190570229573,1.21282570483852,2.63292209183592,0.795487817479527,0.606720191670639,0.986625810614196,0.000244646975506922,0.232411682911771,85,"Pass"
"KffactWs","StreamCat",FALSE,"Continuous",0,0.0152671755725191,0.306963735095,0.360792302377601,0.64081237950579,0.735683632309994,0.0126866918843207,1.09776839635834,1.47262281520934e-05,0.325390141866453,67,"Fail"
"Al2O3Cat","StreamCat",FALSE,"Continuous",0,0.0152671755725191,13.6448812679528,0.466636578450313,0.729059384239533,0.901239206422858,0.146753823682814,0.134707624171402,7.54872740263469e-05,0.444119268579326,74,"Fail"
