FinalID,CommonName,CaliforniaTaxon,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,GenusComplex,Genus,SpeciesComplex,Species,Subspecies,Variety,TaxonomicAuthority,FinalIDAuthority,Source
Agabus ancillus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus ancillus,,,Fall,SAFIT,DFG-ABL
Agabus anthracinus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus anthracinus,,,Mannerheim,SAFIT,DFG-ABL
Agabus apache,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus apache,,,Young,SAFIT,DFG-ABL
Agabus approximatus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus approximatus,,,Fall,SAFIT,DFG-ABL
Agabus austinii,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus austinii,,,Sharp,SAFIT,DFG-ABL
Agabus austrodiscors,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus austrodiscors,,,Larson,SAFIT,DFG-ABL
Agabus bifarius,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus bifarius,,,(Kirby),SAFIT,DFG-ABL
Agabus bjorkmanae,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus bjorkmanae,,,Hatch,SAFIT,DFG-ABL
Agabus brevicollis,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus brevicollis,,,LeConte,SAFIT,DFG-ABL
Agabus canadensis,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus canadensis,,,Fall,SAFIT,DFG-ABL
Agabus confertus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus confertus,,,LeConte,SAFIT,DFG-ABL
Agabus cordatus,,FALSE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus cordatus,,,(LeConte),SAFIT,DFG-ABL
Agabus discors,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus discors,,,LeConte,SAFIT,DFG-ABL
Agabus disintegratus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus disintegratus,,,(Crotch),SAFIT,DFG-ABL
Agabus erichsoni,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus erichsoni,,,Gemminger and Harold,SAFIT,DFG-ABL
Agabus euryomus,,TRUE,Arthropoda,Hexapoda,,Insecta,,,Coleoptera,,,Dytiscidae,Colymbetinae,,,Agabus,,Agabus euryomus,,,Larson,SAFIT,DFG-ABL
